page_id,model_id,fkre,fkgl,gfi,smog,cli,ari,word_count,sentence_count,avg_words_per_sentence,avg_syllables_per_word,scorer_version
bwh__cta__41bd929e,openai,49.73,9.35,11.73,11.86,11.25,9.28,695,57,12.19,1.711,textstat-0.7.13
bwh__tavr__560e7825,claude,69.02,6.27,8.83,9.83,8.5,6.44,734,69,10.64,1.501,textstat-0.7.13
bwh__tavr__560e7825,gemini,71.02,6.29,7.98,9.59,8.14,6.61,591,50,11.82,1.464,textstat-0.7.13
bwh__tavr__560e7825,openai,60.05,7.73,10.24,11.08,9.95,7.87,721,63,11.44,1.598,textstat-0.7.13
cleveland__cta__2327f207,claude,80.78,4.81,7.52,8.69,6.17,4.78,884,78,11.33,1.354,textstat-0.7.13
cleveland__cta__2327f207,gemini,87.86,3.74,5.72,6.98,5.35,3.95,605,55,11.0,1.274,textstat-0.7.13
cleveland__cta__2327f207,openai,76.82,5.11,8.05,9.09,6.9,5.05,807,78,10.35,1.413,textstat-0.7.13
cleveland__laao__58be2f5f,claude,82.83,4.79,7.62,8.58,6.45,5.45,1265,102,12.4,1.317,textstat-0.7.13
cleveland__laao__58be2f5f,gemini,85.62,4.37,6.7,7.81,6.15,5.11,677,55,12.31,1.285,textstat-0.7.13
cleveland__laao__58be2f5f,openai,77.17,5.38,8.12,9.18,7.2,5.74,1126,97,11.61,1.393,textstat-0.7.13
