page_id,model_id,fkre_delta,fkgl_delta,gfi_delta,smog_delta,cli_delta,ari_delta,fkre_rewrite,fkgl_rewrite,gfi_rewrite,smog_rewrite,cli_rewrite,ari_rewrite,fkre_orig,fkgl_orig,gfi_orig,smog_orig,cli_orig,ari_orig
jhmi__laao__b5350128,openai,20.880000000000003,-4.510000000000001,-4.9399999999999995,-3.4700000000000006,-3.0700000000000003,-5.1000000000000005,70.84,6.7,9.55,10.09,8.68,7.46,49.96,11.21,14.49,13.56,11.75,12.56
jhmi__tavr__7bdb4834,claude,25.790000000000006,-4.5200000000000005,-5.459999999999999,-3.83,-4.43,-5.43,83.15,4.12,6.65,8.12,6.6,4.16,57.36,8.64,12.11,11.95,11.03,9.59
jhmi__tavr__7bdb4834,gemini,29.760000000000005,-5.050000000000001,-6.279999999999999,-4.6899999999999995,-5.06,-6.04,87.12,3.59,5.83,7.26,5.97,3.55,57.36,8.64,12.11,11.95,11.03,9.59
jhmi__tavr__7bdb4834,openai,17.340000000000003,-3.3200000000000003,-3.75,-2.619999999999999,-2.76,-3.37,74.7,5.32,8.36,9.33,8.27,6.22,57.36,8.64,12.11,11.95,11.03,9.59
mayo__cta__7756ee3c,claude,24.730000000000004,-4.170000000000001,-4.970000000000001,-3.6100000000000003,-3.7299999999999995,-3.9099999999999993,82.81,4.29,6.33,7.89,5.88,4.28,58.08,8.46,11.3,11.5,9.61,8.19
mayo__cta__7756ee3c,gemini,23.590000000000003,-3.9300000000000006,-4.780000000000001,-3.54,-3.3,-3.459999999999999,81.67,4.53,6.52,7.96,6.31,4.73,58.08,8.46,11.3,11.5,9.61,8.19
mayo__cta__7756ee3c,openai,9.840000000000003,-1.910000000000001,-2.58,-1.7799999999999994,-1.5,-1.8999999999999995,67.92,6.55,8.72,9.72,8.11,6.29,58.08,8.46,11.3,11.5,9.61,8.19
mayo__tavr__739229dd,claude,20.189999999999998,-3.33,-3.84,-2.8100000000000005,-3.8600000000000003,-4.239999999999999,84.32,4.18,6.57,8.08,6.79,4.79,64.13,7.51,10.41,10.89,10.65,9.03
mayo__tavr__739229dd,gemini,19.620000000000005,-3.2699999999999996,-4.04,-3.1100000000000003,-3.41,-3.9499999999999993,83.75,4.24,6.37,7.78,7.24,5.08,64.13,7.51,10.41,10.89,10.65,9.03
mayo__tavr__739229dd,openai,6.829999999999998,-1.29,-1.6799999999999997,-1.1900000000000013,-1.5199999999999996,-1.6799999999999997,70.96,6.22,8.73,9.7,9.13,7.35,64.13,7.51,10.41,10.89,10.65,9.03
radinfo__cta__6925659a,claude,35.17999999999999,-6.529999999999999,-7.33,-5.4399999999999995,-5.26,-6.49,85.82,3.74,5.85,7.33,5.09,3.36,50.64,10.27,13.18,12.77,10.35,9.85
radinfo__cta__6925659a,gemini,34.599999999999994,-6.21,-7.2299999999999995,-5.319999999999999,-4.529999999999999,-5.449999999999999,85.24,4.06,5.95,7.45,5.82,4.4,50.64,10.27,13.18,12.77,10.35,9.85
radinfo__cta__6925659a,openai,22.22,-4.14,-4.629999999999999,-3.3099999999999987,-3.0699999999999994,-4.09,72.86,6.13,8.55,9.46,7.28,5.76,50.64,10.27,13.18,12.77,10.35,9.85
radinfo__tavr__b91650e4,claude,45.32000000000001,-9.11,-10.03,-8.280000000000001,-6.76,-11.31,78.54,7.25,9.97,8.84,6.82,8.13,33.22,16.36,20.0,17.12,13.58,19.44
radinfo__tavr__b91650e4,gemini,54.150000000000006,-12.309999999999999,-13.9,-10.040000000000001,-7.51,-14.440000000000001,87.37,4.05,6.1,7.08,6.07,5.0,33.22,16.36,20.0,17.12,13.58,19.44
radinfo__tavr__b91650e4,openai,36.42,-7.859999999999999,-8.89,-6.850000000000001,-4.720000000000001,-9.73,69.64,8.5,11.11,10.27,8.86,9.71,33.22,16.36,20.0,17.12,13.58,19.44
stanford__cta__80db3ba7,claude,40.39,-6.82,-7.220000000000001,-4.75,-6.3500000000000005,-6.8100000000000005,74.97,5.34,8.6,9.5,6.46,4.75,34.58,12.16,15.82,14.25,12.81,11.56
stanford__cta__80db3ba7,gemini,40.040000000000006,-5.88,-6.65,-4.6,-6.2,-5.5200000000000005,74.62,6.28,9.17,9.65,6.61,6.04,34.58,12.16,15.82,14.25,12.81,11.56
stanford__cta__80db3ba7,openai,26.54,-4.15,-4.609999999999999,-2.869999999999999,-4.290000000000001,-4.2700000000000005,61.12,8.01,11.21,11.38,8.52,7.29,34.58,12.16,15.82,14.25,12.81,11.56
stanford__laao__46fbd5cc,claude,35.75,-6.95,-6.790000000000001,-5.01,-6.93,-8.51,73.53,5.8,8.18,9.13,8.73,6.68,37.78,12.75,14.97,14.14,15.66,15.19
stanford__laao__46fbd5cc,gemini,41.06,-7.25,-6.84,-5.16,-8.66,-9.18,78.84,5.5,8.13,8.98,7.0,6.01,37.78,12.75,14.97,14.14,15.66,15.19
stanford__laao__46fbd5cc,openai,18.129999999999995,-3.789999999999999,-3.9300000000000015,-2.9299999999999997,-3.66,-5.0,55.91,8.96,11.04,11.21,12.0,10.19,37.78,12.75,14.97,14.14,15.66,15.19
stanford__laao__7b2864fb,claude,26.29,-5.249999999999999,-5.2700000000000005,-3.7699999999999996,-5.43,-6.71,77.94,5.11,6.96,8.55,7.08,5.2,51.65,10.36,12.23,12.32,12.51,11.91
stanford__laao__7b2864fb,gemini,29.220000000000006,-5.279999999999999,-5.220000000000001,-4.01,-5.72,-6.5,80.87,5.08,7.01,8.31,6.79,5.41,51.65,10.36,12.23,12.32,12.51,11.91
stanford__laao__7b2864fb,openai,14.990000000000002,-3.0599999999999996,-3.0600000000000005,-2.2699999999999996,-3.039999999999999,-4.08,66.64,7.3,9.17,10.05,9.47,7.83,51.65,10.36,12.23,12.32,12.51,11.91
stanford__tavr__9f21f452,claude,42.47,-7.89,-9.500000000000002,-6.709999999999999,-7.709999999999999,-8.84,79.47,4.47,6.92,8.13,7.23,4.95,37.0,12.36,16.42,14.84,14.94,13.79
stanford__tavr__9f21f452,gemini,37.0,-5.959999999999999,-7.560000000000002,-5.35,-6.709999999999999,-6.319999999999999,74.0,6.4,8.86,9.49,8.23,7.47,37.0,12.36,16.42,14.84,14.94,13.79
stanford__tavr__9f21f452,openai,27.870000000000005,-5.56,-6.250000000000002,-4.51,-4.889999999999999,-6.369999999999999,64.87,6.8,10.17,10.33,10.05,7.42,37.0,12.36,16.42,14.84,14.94,13.79
ucsf__cta__071e7999,claude,12.670000000000009,-2.29,-2.289999999999999,-1.6800000000000015,-2.209999999999999,-2.500000000000001,67.4,7.13,10.31,10.62,8.07,6.63,54.73,9.42,12.6,12.3,10.28,9.13
ucsf__cta__071e7999,gemini,24.589999999999996,-3.41,-4.33,-3.6400000000000006,-3.709999999999999,-2.9400000000000004,79.32,6.01,8.27,8.66,6.57,6.19,54.73,9.42,12.6,12.3,10.28,9.13
ucsf__laao__3b281006,claude,26.29999999999999,-5.38,-5.779999999999999,-4.1899999999999995,-4.28,-6.0200000000000005,78.32,5.06,8.0,9.05,7.29,5.61,52.02,10.44,13.78,13.24,11.57,11.63
ucsf__laao__3b281006,gemini,34.29999999999999,-6.549999999999999,-7.319999999999999,-5.51,-5.5200000000000005,-7.050000000000001,86.32,3.89,6.46,7.73,6.05,4.58,52.02,10.44,13.78,13.24,11.57,11.63
ucsf__laao__3b281006,openai,21.410000000000004,-4.67,-4.959999999999999,-3.620000000000001,-3.380000000000001,-5.260000000000001,73.43,5.77,8.82,9.62,8.19,6.37,52.02,10.44,13.78,13.24,11.57,11.63
ucsf__tavr__ebb4143e,claude,24.630000000000003,-5.039999999999999,-5.41,-4.01,-3.999999999999999,-5.640000000000001,81.11,4.73,7.59,8.67,6.95,5.34,56.48,9.77,13.0,12.68,10.95,10.98
ucsf__tavr__ebb4143e,gemini,31.740000000000002,-6.09,-6.67,-5.08,-5.409999999999999,-6.9,88.22,3.68,6.33,7.6,5.54,4.08,56.48,9.77,13.0,12.68,10.95,10.98
ucsf__tavr__ebb4143e,openai,19.630000000000003,-4.409999999999999,-4.73,-3.4399999999999995,-2.9899999999999993,-4.94,76.11,5.36,8.27,9.24,7.96,6.04,56.48,9.77,13.0,12.68,10.95,10.98
