score,group_a,group_b,n_a,n_b,mean_rank_a,mean_rank_b,z,p_raw,p_adj
fkre,radinfo,stanford,2,4,6.5,6.5,0.0,1.0,1.0
fkre,radinfo,ucsf,2,3,6.5,14.666666666666666,-1.169654294264407,0.24214011833026716,1.0
fkre,stanford,ucsf,4,3,6.5,14.666666666666666,-1.398004275535649,0.1621117832731267,1.0
cli,acc,aha,2,3,11.0,8.0,0.4296689244236597,0.6674364917098825,1.0
cli,acc,bhf,2,2,11.0,3.5,0.9805806756909201,0.3267995676689659,1.0
cli,acc,bwh,2,2,11.0,23.5,-1.6343011261515334,0.1021956373479207,1.0
cli,acc,cleveland,2,3,11.0,10.666666666666666,0.04774099160262894,0.961922664756846,1.0
cli,acc,jhmi,2,3,11.0,15.666666666666666,-0.668373882436804,0.5038949627480052,1.0
cli,acc,mayo,2,2,11.0,7.0,0.5229763603684907,0.6009907040609206,1.0
cli,acc,radinfo,2,2,11.0,15.5,-0.588348405414552,0.5562984612747348,1.0
cli,acc,stanford,2,4,11.0,23.0,-1.8116432546313532,0.070041336874616,1.0
cli,acc,ucsf,2,3,11.0,11.666666666666666,-0.09548198320525764,0.9239320001919065,1.0
cli,aha,bhf,3,2,8.0,3.5,0.6445033866354896,0.5192490622486565,1.0
cli,aha,bwh,3,2,8.0,23.5,-2.219956109522242,0.02642174711228873,1.0
cli,aha,cleveland,3,3,8.0,10.666666666666666,-0.42700841014689894,0.669373202065588,1.0
cli,aha,jhmi,3,3,8.0,15.666666666666666,-1.2276491791723345,0.2195786918257765,1.0
cli,aha,mayo,3,2,8.0,7.0,0.1432229748078866,0.8861140855995522,1.0
cli,aha,radinfo,3,2,8.0,15.5,-1.0741723110591495,0.28274545993277433,1.0
cli,aha,stanford,3,4,8.0,23.0,-2.567762955065478,0.010235712391270635,0.4401356328246373
cli,aha,ucsf,3,3,8.0,11.666666666666666,-0.5871365639519861,0.5571119925284616,1.0
cli,bhf,bwh,2,2,3.5,23.5,-2.614881801842454,0.008925833825206952,0.3927366883091059
cli,bhf,cleveland,2,3,3.5,10.666666666666666,-1.0264313194565204,0.304688321540326,1.0
cli,bhf,jhmi,2,3,3.5,15.666666666666666,-1.7425461934959534,0.08141291580222654,1.0
cli,bhf,mayo,2,2,3.5,7.0,-0.4576043153224294,0.647236742644139,1.0
cli,bhf,radinfo,2,2,3.5,15.5,-1.5689290811054721,0.11666446478102355,1.0
cli,bhf,stanford,2,4,3.5,23.0,-2.9439202887759492,0.0032408345715186915,0.14583755571834112
cli,bhf,ucsf,2,3,3.5,11.666666666666666,-1.169654294264407,0.24214011833026716,1.0
cli,bwh,cleveland,2,3,23.5,10.666666666666666,1.8380281767012112,0.06605825345082628,1.0
cli,bwh,jhmi,2,3,23.5,15.666666666666666,1.1219133026617782,0.26189930401366124,1.0
cli,bwh,mayo,2,2,23.5,7.0,2.1572774865200244,0.030984050098456617,1.0
cli,bwh,radinfo,2,2,23.5,15.5,1.0459527207369814,0.2955828615603595,1.0
cli,bwh,stanford,2,4,23.5,23.0,0.07548513560963972,0.9398287238579046,1.0
cli,bwh,ucsf,2,3,23.5,11.666666666666666,1.6948052018933246,0.09011238036301394,1.0
cli,cleveland,jhmi,3,3,10.666666666666666,15.666666666666666,-0.8006407690254357,0.4233396415824435,1.0
cli,cleveland,mayo,3,2,10.666666666666666,7.0,0.5251509076289174,0.5994782891608139,1.0
cli,cleveland,radinfo,3,2,10.666666666666666,15.5,-0.6922443782381186,0.4887838736987846,1.0
cli,cleveland,stanford,3,4,10.666666666666666,23.0,-2.1112717630538373,0.03474895964669256,1.0
cli,cleveland,ucsf,3,3,10.666666666666666,11.666666666666666,-0.16012815380508713,0.8727801237939117,1.0
cli,jhmi,mayo,3,2,15.666666666666666,7.0,1.2412657816683503,0.21450758106263113,1.0
cli,jhmi,radinfo,3,2,15.666666666666666,15.5,0.023870495801314347,0.9809559085142909,1.0
cli,jhmi,stanford,3,4,15.666666666666666,23.0,-1.2553507780320114,0.20935144938013694,1.0
cli,jhmi,ucsf,3,3,15.666666666666666,11.666666666666666,0.6405126152203485,0.5218393903336154,1.0
cli,mayo,radinfo,2,2,7.0,15.5,-1.1113247657830427,0.2664285829701689,1.0
cli,mayo,stanford,2,4,7.0,23.0,-2.415524339508471,0.01571257231165557,0.659928037089534
cli,mayo,ucsf,2,3,7.0,11.666666666666666,-0.668373882436804,0.5038949627480052,1.0
cli,radinfo,stanford,2,4,15.5,23.0,-1.1322770341445958,0.25751798224906275,1.0
cli,radinfo,ucsf,2,3,15.5,11.666666666666666,0.549021403430232,0.5829907614935559,1.0
cli,stanford,ucsf,4,3,23.0,11.666666666666666,1.940087566049472,0.052369048853201816,1.0
